,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Contact or Book your Trip
22,Annapurna Luxury Trek,"
$1,450     USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
23,Annapurna Panorama Trek,"
$860     USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
24,Annapurna Tilicho Lake Trek,"
$1,450     USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
25,Short Annapurna Trek,"
$590     USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
26,Manaslu Circuit Trek,"
$1,450     USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
27,Manaslu Circuit Trekking,"
$1,380     USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
28,Tsum Valley with Manaslu Trek,"
$1,850     USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
29,Upper Mustang Trek,"
$2,150     USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
30,Upper Mustang Trek with Yara,"
$2,300     USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
31,Upper Mustang Tiji Festival Trek,"
$2,150     USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
32,Langtang Valley Trek,"
$750     USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
33,Langtang Gosaikunda Trek,"
$1,180     USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
34,Tamang Heritage Trek,"
$920     USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
35,Tamang Heritage Trail,"
$750     USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
36,Helambu Trek,"
$780     USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
37,Annapurna Base Camp Trek  ," $1,499     USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
38,Everest Base Camp Trek for Youths  ," $1,750     USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
39,Everest Base Camp Short Trek  ," $1,499     USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
40,Everest Base Camp Trek  ," $1,499     USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
41,Annapurna Circuit Trek  ," $1,499     USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
42,Everest Base Camp Luxury Lodge Trek  ," $1,499     USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
43,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499     USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
44,Upper Mustang Trek  ," $1,499     USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
45,Everest Advanced Base Camp Trek from Tibet  ," $1,499     USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
46,Gokyo Lakes and Gokyo Ri Trek  ," $1,499     USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
47,Mardi Himal Trek  ," $1,499     USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
48,Manaslu Circuit Trek  ," $1,499     USD", 18 Days,Demanding,"5,160m",,,https://www.himalayanglacier.com
49,Langtang Valley Trek  ," $1,499     USD", 11 Days,Moderate+Demanding,"5,000m",,,https://www.himalayanglacier.com
50,Annapurna Sanctuary Trek  ," $1,499     USD", 14 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
51,Rara Lake Trek  ," $1,499     USD", 15 Days,Moderate,"3,055m",,,https://www.himalayanglacier.com
52,Everest High Passes Trek  ," $1,499     USD", 20 Days,Demanding,"5,546m",,,https://www.himalayanglacier.com
53,Kanchenjunga Circuit Trek  ," $1,499     USD", 25 Days,Demanding,"5,143m",,,https://www.himalayanglacier.com
54,Everest View Trek  ," $1,499     USD", 12 Days,Light+Moderate,"3,870m",,,https://www.himalayanglacier.com
55,Tsum Valley Trek  ," $1,499     USD", 19 Days,Demanding,"6,000m",,,https://www.himalayanglacier.com
56,The Royal Trek  ," $1,499     USD", 9 Days,Moderate,"1,730m",,,https://www.himalayanglacier.com
57,Makalu Base Camp Trek  ," $1,499     USD", 22 Days,Demanding+Challenging,"4,870m",,,https://www.himalayanglacier.com
58,"Langtang, Gosainkunda and Helambu Trek  "," $1,499     USD", 17 Days,Moderate,"5,000m",,,https://www.himalayanglacier.com
59,Nar Phu Valley Trek  ," $1,499     USD", 19 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
60,Annapurna Circle Trek  ," $1,499     USD", 14 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
61,Everest Kangshung Face Trek  ," $1,499     USD", 21 Days,Demanding+Challenging,"5,320m",,,https://www.himalayanglacier.com
62,Tsum Valley and Manaslu Trek  ," $1,499     USD", 27 Days,Demanding,"4,460m",,,https://www.himalayanglacier.com
63,Khopra Ridge Community Trek  ," $1,499     USD", 13 Days,Moderate+Demanding,"4,500m",,,https://www.himalayanglacier.com
64,Nepal Experience Tour  ," $1,499     USD", 12 Days,Light,"3,210m",,,https://www.himalayanglacier.com
65,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499     USD", 20 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
66,Annapurna With Tilicho Lake Trek  ," $1,499     USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
67,Langtang Valley Trek with Ganja la Pass  ," $1,499     USD", 14 Days,Demanding+Challenging,"5,122m",,,https://www.himalayanglacier.com
68,Tamang Heritage Trek  ," $1,499     USD", 14 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
69,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499     USD", 25 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
70,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499     USD", 7 Days,Moderate,"5,545m",,,https://www.himalayanglacier.com
71,Nepal Hiking and Culture Tour  ," $1,499     USD", 8 Days,Moderate,"1,550m",,,https://www.himalayanglacier.com
72,Annapurna Sunrise and Everest View Trek  ," $1,499     USD", 17 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
73,Tenzing Hillary Everest Marathon  ," $1,499     USD", 20 Days,Demanding+Challenging,"5,545m",,,https://www.himalayanglacier.com
74,Everest Base Camp Trek,$1450     USD,16 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
75,Everest Kalapathar Trekking,$1390     USD,15 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
76,Everest Panorama Trek,$1040     USD,10 Days,Easy-Moderate,"3,860m",,,https://www.adventurehimalayacircuit.com
77,Everest Base Camp Trek via Gokyo Lake,$1530     USD,19 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
78,Gokyo Lake Trek,$1190     USD,13 Days,Moderate,"5,357m",,,https://www.adventurehimalayacircuit.com
79,Everest Base Camp Heli Trek,$3600     USD,9 Days,Moderate,"5,545m",,,https://www.adventurehimalayacircuit.com
80,Annapurna Circuit Trek,$1100     USD,19 Days,Moderate-Hard,"5,416m",,,https://www.adventurehimalayacircuit.com
81,Annapurna Base Camp Trek,$1090     USD,16 Days,Moderate,"4,130m",,,https://www.adventurehimalayacircuit.com
82,Ghorepani Poon Hill Trek,$450     USD,10 Days,Easy,"3,210m",,,https://www.adventurehimalayacircuit.com
83,Upper Mustang Trek,$2100     USD,17 Days,Moderate-Hard,4200m,,,https://www.adventurehimalayacircuit.com
84,Mardi Himal Trek,$590     USD,9 Days,Easy-Moderate,"4,500m",,,https://www.adventurehimalayacircuit.com
85,Langtang Valley Trekking,$690     USD,11 Days,Moderate,"4,773m",,,https://www.adventurehimalayacircuit.com
86,Manaslu Circuit Trek,$1190     USD,17 Days,Moderate-Hard,"5,220m",,,https://www.adventurehimalayacircuit.com
87,Annapurna Base Camp Trek,"
$1,090    USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
88,Annapurna Base Camp Short Trek,"
$1,090    USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
89,Instant Annapurna Base Camp Trek,"
$980    USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
90,Annapurna Base Camp Heli Trek,"
$1,750    USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
91,Mardi Himal Trek,"
$850    USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
92,Mardi Himal Trekking,"
$850    USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
93,Classic Annapurna Circuit Trek,"
$1,350    USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
94,Annapurna Circuit Trek,"
$1,250    USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
95,Annapurna Circuit Short Trek,"
$1,250    USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
96,Annapurna Luxury Trek,"
$1,450    USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
97,Annapurna Panorama Trek,"
$860    USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
98,Annapurna Tilicho Lake Trek,"
$1,450    USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
99,Short Annapurna Trek,"
$590    USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
100,Manaslu Circuit Trek,"
$1,450    USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
101,Manaslu Circuit Trekking,"
$1,380    USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
102,Tsum Valley with Manaslu Trek,"
$1,850    USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
103,Upper Mustang Trek,"
$2,150    USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
104,Upper Mustang Trek with Yara,"
$2,300    USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
105,Upper Mustang Tiji Festival Trek,"
$2,150    USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
106,Langtang Valley Trek,"
$750    USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
107,Langtang Gosaikunda Trek,"
$1,180    USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
108,Tamang Heritage Trek,"
$920    USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
109,Tamang Heritage Trail,"
$750    USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
110,Helambu Trek,"
$780    USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
111,Annapurna Base Camp Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
112,Everest Base Camp Trek for Youths  ," $1,750    USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
113,Everest Base Camp Short Trek  ," $1,499    USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
114,Everest Base Camp Trek  ," $1,499    USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
115,Annapurna Circuit Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
116,Everest Base Camp Luxury Lodge Trek  ," $1,499    USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
117,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499    USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
118,Upper Mustang Trek  ," $1,499    USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
119,Everest Advanced Base Camp Trek from Tibet  ," $1,499    USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
120,Gokyo Lakes and Gokyo Ri Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
121,Mardi Himal Trek  ," $1,499    USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
122,Manaslu Circuit Trek  ," $1,499    USD", 18 Days,Demanding,"5,160m",,,https://www.himalayanglacier.com
123,Langtang Valley Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"5,000m",,,https://www.himalayanglacier.com
124,Annapurna Sanctuary Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
125,Rara Lake Trek  ," $1,499    USD", 15 Days,Moderate,"3,055m",,,https://www.himalayanglacier.com
126,Everest High Passes Trek  ," $1,499    USD", 20 Days,Demanding,"5,546m",,,https://www.himalayanglacier.com
127,Kanchenjunga Circuit Trek  ," $1,499    USD", 25 Days,Demanding,"5,143m",,,https://www.himalayanglacier.com
128,Everest View Trek  ," $1,499    USD", 12 Days,Light+Moderate,"3,870m",,,https://www.himalayanglacier.com
129,Tsum Valley Trek  ," $1,499    USD", 19 Days,Demanding,"6,000m",,,https://www.himalayanglacier.com
130,The Royal Trek  ," $1,499    USD", 9 Days,Moderate,"1,730m",,,https://www.himalayanglacier.com
131,Makalu Base Camp Trek  ," $1,499    USD", 22 Days,Demanding+Challenging,"4,870m",,,https://www.himalayanglacier.com
132,"Langtang, Gosainkunda and Helambu Trek  "," $1,499    USD", 17 Days,Moderate,"5,000m",,,https://www.himalayanglacier.com
133,Nar Phu Valley Trek  ," $1,499    USD", 19 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
134,Annapurna Circle Trek  ," $1,499    USD", 14 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
135,Everest Kangshung Face Trek  ," $1,499    USD", 21 Days,Demanding+Challenging,"5,320m",,,https://www.himalayanglacier.com
136,Tsum Valley and Manaslu Trek  ," $1,499    USD", 27 Days,Demanding,"4,460m",,,https://www.himalayanglacier.com
137,Khopra Ridge Community Trek  ," $1,499    USD", 13 Days,Moderate+Demanding,"4,500m",,,https://www.himalayanglacier.com
138,Nepal Experience Tour  ," $1,499    USD", 12 Days,Light,"3,210m",,,https://www.himalayanglacier.com
139,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499    USD", 20 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
140,Annapurna With Tilicho Lake Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
141,Langtang Valley Trek with Ganja la Pass  ," $1,499    USD", 14 Days,Demanding+Challenging,"5,122m",,,https://www.himalayanglacier.com
142,Tamang Heritage Trek  ," $1,499    USD", 14 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
143,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499    USD", 25 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
144,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499    USD", 7 Days,Moderate,"5,545m",,,https://www.himalayanglacier.com
145,Nepal Hiking and Culture Tour  ," $1,499    USD", 8 Days,Moderate,"1,550m",,,https://www.himalayanglacier.com
146,Annapurna Sunrise and Everest View Trek  ," $1,499    USD", 17 Days,Moderate,"3,870m",,,https://www.himalayanglacier.com
147,Tenzing Hillary Everest Marathon  ," $1,499    USD", 20 Days,Demanding+Challenging,"5,545m",,,https://www.himalayanglacier.com
148,Everest Base Camp Trek,$1450    USD,16 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
149,Everest Kalapathar Trekking,$1390    USD,15 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
150,Everest Panorama Trek,$1040    USD,10 Days,Easy-Moderate,"3,860m",,,https://www.adventurehimalayacircuit.com
151,Everest Base Camp Trek via Gokyo Lake,$1530    USD,19 Days,Moderate-Hard,"5,545m",,,https://www.adventurehimalayacircuit.com
152,Gokyo Lake Trek,$1190    USD,13 Days,Moderate,"5,357m",,,https://www.adventurehimalayacircuit.com
153,Everest Base Camp Heli Trek,$3600    USD,9 Days,Moderate,"5,545m",,,https://www.adventurehimalayacircuit.com
154,Annapurna Circuit Trek,$1100    USD,19 Days,Moderate-Hard,"5,416m",,,https://www.adventurehimalayacircuit.com
155,Annapurna Base Camp Trek,$1090    USD,16 Days,Moderate,"4,130m",,,https://www.adventurehimalayacircuit.com
156,Ghorepani Poon Hill Trek,$450    USD,10 Days,Easy,"3,210m",,,https://www.adventurehimalayacircuit.com
157,Upper Mustang Trek,$2100    USD,17 Days,Moderate-Hard,4200m,,,https://www.adventurehimalayacircuit.com
158,Mardi Himal Trek,$590    USD,9 Days,Easy-Moderate,"4,500m",,,https://www.adventurehimalayacircuit.com
159,Langtang Valley Trekking,$690    USD,11 Days,Moderate,"4,773m",,,https://www.adventurehimalayacircuit.com
160,Manaslu Circuit Trek,$1190    USD,17 Days,Moderate-Hard,"5,220m",,,https://www.adventurehimalayacircuit.com
161,Annapurna Base Camp Trek,"
$1,090   USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
162,Annapurna Base Camp Short Trek,"
$1,090   USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
163,Instant Annapurna Base Camp Trek,"
$980   USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
164,Annapurna Base Camp Heli Trek,"
$1,750   USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
165,Mardi Himal Trek,"
$850   USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
166,Mardi Himal Trekking,"
$850   USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
167,Classic Annapurna Circuit Trek,"
$1,350   USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
168,Annapurna Circuit Trek,"
$1,250   USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
169,Annapurna Circuit Short Trek,"
$1,250   USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
170,Annapurna Luxury Trek,"
$1,450   USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
171,Annapurna Panorama Trek,"
$860   USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
172,Annapurna Tilicho Lake Trek,"
$1,450   USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
173,Short Annapurna Trek,"
$590   USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
174,Manaslu Circuit Trek,"
$1,450   USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
175,Manaslu Circuit Trekking,"
$1,380   USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
176,Tsum Valley with Manaslu Trek,"
$1,850   USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
177,Upper Mustang Trek,"
$2,150   USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
178,Upper Mustang Trek with Yara,"
$2,300   USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,https://www.nepalhikingteam.com
179,Upper Mustang Tiji Festival Trek,"
$2,150   USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
180,Langtang Valley Trek,"
$750   USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,https://www.nepalhikingteam.com
181,Langtang Gosaikunda Trek,"
$1,180   USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
182,Tamang Heritage Trek,"
$920   USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
183,Tamang Heritage Trail,"
$750   USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
184,Helambu Trek,"
$780   USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,https://www.nepalhikingteam.com
185,Annapurna Base Camp Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"4,130m",,,https://www.himalayanglacier.com
186,Everest Base Camp Trek for Youths  ," $1,750   USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
187,Everest Base Camp Short Trek  ," $1,499   USD", 14 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
188,Everest Base Camp Trek  ," $1,499   USD", 16 Days,Moderate+Demanding,"5,545m",,,https://www.himalayanglacier.com
189,Annapurna Circuit Trek  ," $1,499   USD", 17 Days,Demanding,"5,416m",,,https://www.himalayanglacier.com
190,Everest Base Camp Luxury Lodge Trek  ," $1,499   USD", 15 Days,Demanding,"5,545m",,,https://www.himalayanglacier.com
191,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499   USD", 18 days,Demanding,"5,545m",,,https://www.himalayanglacier.com
192,Upper Mustang Trek  ," $1,499   USD", 17 Days,Moderate+Demanding,"3,870m",,,https://www.himalayanglacier.com
193,Everest Advanced Base Camp Trek from Tibet  ," $1,499   USD", 18 Days,Moderate+Demanding,"6,340m",,,https://www.himalayanglacier.com
194,Gokyo Lakes and Gokyo Ri Trek  ," $1,499   USD", 14 Days,Moderate+Demanding,"5,357m",,,https://www.himalayanglacier.com
195,Mardi Himal Trek  ," $1,499   USD", 10 Days,Moderate,"3,540m",,,https://www.himalayanglacier.com
